Year,Owner,Present_Price,Driven_kms,Fuel_Type,Transmission,Selling_Price
2014,1,5.59,27000,1,1,3.35
2013,1,9.54,43000,1,1,4.75
2017,1,9.85,6900,1,1,7.25
2011,1,4.15,5200,1,1,2.85
2014,1,6.87,42450,1,1,4.6
2018,1,9.83,2071,1,1,9.25
2015,1,8.12,18796,1,1,6.75
2015,1,8.61,33429,1,1,6.5
2016,1,8.89,20273,1,1,8.75
2015,1,8.92,42367,1,1,7.45
2017,1,3.6,2135,1,1,2.85
2015,1,10.38,51000,1,1,6.85
2015,1,9.94,15000,1,2,7.5
2015,1,7.71,26000,1,1,6.1
2009,1,7.21,77427,1,1,2.25
2016,1,10.79,43000,1,1,7.75
2015,1,10.79,41678,1,1,7.25
2016,1,10.79,43000,1,1,7.75
2015,1,5.09,35500,1,1,3.25
2010,1,7.98,41442,1,1,2.65
2016,1,3.95,25000,1,1,2.85
2017,1,5.71,2400,1,1,4.9
2011,1,8.01,50000,1,2,4.4
2014,1,3.46,45280,1,1,2.5
2013,1,4.41,56879,2,1,2.9
2011,1,4.99,20000,2,1,3
2013,1,5.87,55138,2,1,4.15
2017,1,6.49,16200,2,1,6
2010,1,3.95,44542,2,1,1.95
2015,1,10.38,45000,2,1,7.45
2012,1,5.98,51439,2,1,3.1
2011,1,4.89,54200,2,1,2.35
2014,1,7.49,39000,2,1,4.95
2014,1,9.95,45000,2,1,6
2014,1,8.06,45000,1,1,5.5
2011,1,7.74,49998,3,1,2.95
2015,1,7.2,48767,3,1,4.65
2003,1,2.28,127000,3,1,0.35
2016,1,3.76,10079,3,1,3
2003,1,7.98,62000,3,1,2.25
2016,1,7.87,24524,3,2,5.85
2014,1,3.98,46706,3,1,2.55
2008,1,7.15,58000,3,1,1.95
2014,1,8.06,45780,3,1,5.5
2012,1,2.69,50000,3,1,1.25
2014,1,12.04,15000,1,2,7.5
2013,1,4.89,64532,1,1,2.65
2006,1,4.15,65000,1,1,1.05
2015,1,7.71,25870,1,1,5.8
2017,1,9.29,37000,1,2,7.75
2012,1,30.61,104707,1,2,14.9
2015,1,30.61,40000,1,2,23
2017,1,19.77,15000,1,2,18
2013,1,30.61,135000,1,2,16
2005,1,10.21,90000,1,1,2.75
2009,1,15.04,70000,1,1,3.6
2015,1,7.27,40534,1,1,4.5
2010,1,18.54,50000,1,1,4.75
2014,1,6.8,39485,1,1,4.1
2014,1,35.96,41000,1,1,19.99
2013,1,18.61,40001,1,1,6.95
2015,1,7.7,40588,1,1,4.5
2014,1,35.96,78000,1,1,18.75
2015,1,35.96,47000,1,1,23.5
2017,1,36.23,6000,1,1,33
2014,1,6.95,45000,1,2,4.75
2017,1,23.15,11000,1,2,19.75
2010,1,20.45,59000,1,2,9.25
2011,1,13.74,88000,1,2,4.35
2016,1,20.91,12000,1,2,14.25
2014,1,6.76,71000,1,2,3.95
2011,1,12.48,45000,1,2,4.5
2013,1,18.61,56001,1,2,7.45
2011,1,5.71,43000,1,2,2.65
2014,1,8.93,83000,1,2,4.9
2015,1,6.8,36000,1,2,3.95
2013,1,14.68,72000,1,2,5.5
2004,1,12.35,135154,1,2,1.5
2010,1,22.83,80000,1,2,5.25
2012,1,30.61,89000,1,2,14.5
2016,1,14.89,23000,1,2,14.73
2015,1,7.85,40000,1,2,4.75
2017,1,25.39,15000,1,1,23
2015,1,13.46,38000,1,1,12.5
2005,1,13.46,197176,1,1,3.49
2006,1,23.73,142000,1,1,2.5
2010,1,92.6,78000,1,1,35
2012,1,13.74,56000,1,1,5.9
2013,1,6.05,47000,1,1,3.45
2014,1,6.76,40000,1,1,4.75
2009,1,18.61,62000,1,1,3.8
2014,1,16.09,58242,1,1,11.25
2005,1,13.7,75000,1,1,3.51
2015,1,30.61,40000,1,1,23
2008,1,22.78,89000,1,1,4
2012,1,18.61,72000,1,1,5.85
2016,1,25.39,29000,1,1,20.75
2017,1,18.64,8700,1,1,17
2013,1,18.61,45000,1,1,7.05
2010,2,20.45,50024,1,1,9.65
2016,1,1.9,3000,1,1,1.75
2017,1,1.82,1400,1,1,1.7
2017,1,1.78,4000,1,1,1.65
2017,1,1.6,1200,1,1,1.45
2017,1,1.47,4100,1,1,1.35
2015,1,2.37,21700,1,1,1.35
2014,1,3.45,16500,1,1,1.35
2013,1,1.5,15000,1,1,1.25
