Fecha,Libro,Autor,Género,Cantidad,Precio Unitario
2024/08/21,La teoría del todo,Frederick Wade,Romance,19,15.48
2023/11/16,El arte de la guerra,Amy Martin,Ciencia,11,33.82
2023/11/25,Crónicas de un viajero,Jose Campbell,Fantasía,7,49.17
2023/03/23,Crónicas de un viajero,Jennifer Miller,No Ficción,3,16.96
2022/06/02,El arte de la guerra,Christopher Weaver,No Ficción,9,48.72
2023/11/12,La teoría del todo,Brian Christensen,Terror,10,7.46
2025/03/03,La teoría del todo,Cindy Savage,Fantasía,8,9.66
2023/05/28,Secretos ocultos,Anna Hayes,Ciencia,14,49.35
2024/07/12,El arte de la guerra,Breanna Berry,Romance,6,36.51
2022/12/01,Bajo la luna roja,Maria Young,Ciencia,13,21.91
2024/03/19,El enigma de la cueva,Ricky Liu,Misterio,8,5.93
2024/04/08,Sombras en la ciudad,Tanya Griffin DDS,Misterio,10,28.77
2022/10/02,Secretos ocultos,Toni Richardson,Historia,7,9.15
2023/05/28,La teoría del todo,Tonya Prince,Fantasía,13,48.35
2023/09/29,Mentes brillantes,Desiree Bird,Terror,19,5.45
2021/09/19,Sombras en la ciudad,Tiffany Williams,Romance,11,31.67
2024/04/11,Sombras en la ciudad,Tiffany Rodriguez,Fantasía,12,14.56
2022/09/02,Crónicas de un viajero,William Pacheco,Autoayuda,9,42.78
2024/12/26,Sombras en la ciudad,Richard Banks,No Ficción,19,10.05
2022/09/09,El enigma de la cueva,Austin Carpenter,Ficción,15,7.07
2022/07/07,Secretos ocultos,Mary Ortega,No Ficción,4,18.95
2023/12/27,El misterio del tiempo,Joseph Alvarado,Romance,19,32.31
2022/04/10,El misterio del tiempo,Keith White,Fantasía,2,22.46
2022/02/19,Bajo la luna roja,Shane Kennedy,Romance,4,20.38
2024/10/01,El arte de la guerra,Paula Jackson,Ficción,14,31.84
2024/08/07,La sombra del viento,Lori Strickland,Fantasía,13,20.53
2023/12/30,Crónicas de un viajero,Christopher Liu,Autoayuda,14,13.98
2022/08/08,El alquimista,Michael Ingram,Terror,2,17.91
2023/09/08,La sombra del viento,William Mckinney,Misterio,16,25.42
2023/07/25,El alquimista,Brian Meyers,Ficción,19,22.69
2022/09/22,El último amanecer,Amanda Stewart,Misterio,13,12.82
2022/02/28,Mentes brillantes,Kristina Rodriguez DVM,Misterio,2,34.82
2022/02/16,Crónicas de un viajero,Stephanie Schmidt,Terror,6,21.65
2023/10/29,Secretos ocultos,Timothy Martinez,No Ficción,12,31.41
2023/01/13,El enigma de la cueva,Marc Austin,Ficción,10,17.47
2024/04/23,Las voces del pasado,Madison Mcbride,No Ficción,1,46.48
2023/08/04,El arte de la guerra,Charles Joyce,Romance,16,18.71
2024/11/16,El arte de la guerra,Mary Hill,Autoayuda,16,5.5
2024/01/15,Sombras en la ciudad,Carrie Young,Fantasía,15,5.2
2022/12/24,Las voces del pasado,David May,Ficción,1,38.35
2022/04/06,El último amanecer,Jessica Williams,Fantasía,10,40.16
2023/08/15,La sombra del viento,John Clark,Historia,1,40.92
2022/06/17,El misterio del tiempo,Angel Fletcher,Ciencia,18,41.82
2023/12/17,La teoría del todo,Gail Galvan,Ficción,9,10.18
2024/05/21,Sombras en la ciudad,Laura Lowe,Misterio,3,37.18
2023/01/08,El arte de la guerra,Mrs. Emily Day,Misterio,8,43.49
2024/03/16,La sombra del viento,Kelly Smith,Ficción,13,16.96
2025/03/25,Crónicas de un viajero,Jesse Riggs,Ficción,20,18.12
2024/05/12,El enigma de la cueva,Gary Cordova,Autoayuda,14,43.18
2022/09/22,Las voces del pasado,Megan Torres,No Ficción,17,13.47
2024/05/14,Destino incierto,Katherine Webb,Autoayuda,2,21.94
2022/08/29,Destino incierto,Stephanie Rodriguez,Terror,8,28.47
2021/07/29,Las voces del pasado,Charles Hopkins,Autoayuda,13,14.9
2023/07/12,Sombras en la ciudad,Bill Bell,Autoayuda,12,31.8
2021/12/19,Destino incierto,Charles Martin,Autoayuda,2,15.28
2025/03/17,Bajo la luna roja,Ashley Mack,Autoayuda,2,47.46
2025/01/17,El misterio del tiempo,Brittany Dennis,Autoayuda,15,38.23
2022/02/11,La sombra del viento,Lisa Perez,Ciencia,3,5.75
2021/12/21,Cien años de soledad,Christopher Brown,Historia,11,41.65
2025/01/23,Mentes brillantes,Lisa Hudson,Ficción,1,42.03
2021/05/14,Cien años de soledad,James Baldwin,Ficción,2,32.84
2021/08/17,Destino incierto,Clinton Turner,Terror,7,17.92
2023/02/06,Bajo la luna roja,Jimmy Moody,Terror,6,27.38
2024/08/20,El enigma de la cueva,Timothy Harvey,Romance,14,27.15
2021/10/07,Sombras en la ciudad,Mark Dixon,Terror,8,30.78
2023/05/25,Crónicas de un viajero,James Johnson,Ciencia,20,8.36
2023/02/19,Sombras en la ciudad,Erin Todd,Autoayuda,6,23.22
2021/05/28,El enigma de la cueva,Robert Cooper,Terror,9,14.7
2021/10/20,El misterio del tiempo,Lori Kelly,Terror,10,16.82
2024/01/09,La sombra del viento,Cassidy Ramirez,No Ficción,7,6.19
2022/08/01,Cien años de soledad,Pamela Drake,Autoayuda,9,45.89
2022/07/20,El misterio del tiempo,Rebekah Peterson,Fantasía,20,28.33
2023/03/29,Crónicas de un viajero,Jonathan Reed,Ciencia,4,24.42
2024/02/12,El arte de la guerra,Jonathan May,Misterio,15,24.69
2023/10/01,Secretos ocultos,Lorraine Johnson,No Ficción,3,26.86
2022/06/19,La sombra del viento,Kelly Rojas,Romance,7,20.7
2021/07/17,Secretos ocultos,Jennifer Floyd,No Ficción,12,30.45
2023/12/14,El alquimista,Monica Rivera,Romance,4,13.13
2024/04/10,Sombras en la ciudad,Hayley Harris,Romance,11,22.74
2023/11/10,La teoría del todo,Sandra Young,No Ficción,1,13.97
2024/05/29,Cien años de soledad,Ashley Eaton,Ciencia,19,20.93
2024/01/19,Cien años de soledad,John Lewis,Ficción,14,8.59
2021/06/22,El último amanecer,Ashley Cox,No Ficción,17,32.23
2023/06/17,El misterio del tiempo,Robert Kent,Fantasía,15,28.6
2023/09/08,Bajo la luna roja,Sharon Ballard,Ciencia,19,31.71
2024/05/13,Crónicas de un viajero,Daniel Wood,Misterio,16,41.2
2024/04/19,Sombras en la ciudad,Samuel Trevino,Fantasía,4,22.35
2024/06/13,El arte de la guerra,Valerie Stevenson,Autoayuda,16,26.25
2022/04/01,Sombras en la ciudad,Harold Perez,Ciencia,12,36.86
2022/07/02,Secretos ocultos,Sandra Clark,Romance,3,22.16
2022/08/06,Mentes brillantes,Mary Mckinney,Ficción,13,28.17
2022/06/23,El enigma de la cueva,Christine Wilson,No Ficción,5,46.69
2022/08/26,La sombra del viento,Kimberly Beasley,No Ficción,12,44.87
2023/04/11,La teoría del todo,Kristin Pham,Misterio,5,37.1
2022/01/30,Mentes brillantes,Doris Walker,Misterio,14,13.94
2021/07/05,El último amanecer,Johnny Adams,Fantasía,13,27.14
2023/05/20,La teoría del todo,Lisa Lee,Autoayuda,14,14.01
2022/09/15,La teoría del todo,Gregory Carr,Autoayuda,5,7.31
2021/06/30,Secretos ocultos,Anthony Drake,Ficción,3,40.29
2023/07/24,Las voces del pasado,Heather Calhoun,Romance,19,18.14
2022/04/26,Sombras en la ciudad,Janet Green,Misterio,14,17.64
2022/02/21,Sombras en la ciudad,Sheila Bradley,Misterio,16,22.32
2021/08/31,Destino incierto,Amanda Wood MD,Misterio,5,40.27
2023/03/11,Bajo la luna roja,Jerry Riley,Ficción,7,28.55
2023/06/04,El misterio del tiempo,Jason West,Terror,3,47.06
2022/05/25,Mentes brillantes,Marissa Perry,Terror,20,42.67
2021/05/06,El último amanecer,Jill Martinez,Romance,14,9.22
2022/01/10,El enigma de la cueva,Pamela White,Historia,16,21.64
2021/06/17,La teoría del todo,Amy Rivera,Autoayuda,18,24.63
2024/02/11,La teoría del todo,Ryan Lee,Ficción,3,36.12
2023/11/25,El alquimista,Larry Salinas,Terror,9,37.62
2024/07/29,La sombra del viento,Donna Cooper,No Ficción,5,21.03
2023/09/27,La teoría del todo,Amanda Diaz,Ficción,20,28.18
2024/08/25,Crónicas de un viajero,Stephanie Santos,Misterio,15,13.07
2023/12/06,El arte de la guerra,Angela Moore,Historia,10,48.31
2021/10/18,El enigma de la cueva,Nathaniel Greene,Fantasía,13,15.65
2024/11/12,Cien años de soledad,Brittany Lopez,Terror,16,16.14
2022/06/09,El alquimista,Molly Holmes,Historia,10,7.74
2023/11/05,Mentes brillantes,Mary Little,Ficción,17,29.16
2024/01/02,Mentes brillantes,Brian Pittman,Misterio,10,45.24
2022/09/25,El enigma de la cueva,Elizabeth Wright,Historia,4,34.19
2024/09/08,Secretos ocultos,Jill Parker,No Ficción,16,49.05
2022/05/04,Secretos ocultos,Robert Armstrong,Autoayuda,20,37.68
2024/12/06,Destino incierto,Ashley Gonzalez,Autoayuda,15,30.62
2024/08/13,Destino incierto,Keith Lawrence,Fantasía,10,32.3
2025/01/01,El arte de la guerra,Jessica Rosario,No Ficción,2,46.55
2024/05/05,El misterio del tiempo,April Long,Ciencia,1,46.75
2022/12/31,La teoría del todo,Julie Owen,No Ficción,8,35.12
2023/05/31,El arte de la guerra,Claudia Castro,Fantasía,15,33.91
2024/08/12,El último amanecer,James Perez,Romance,11,24.3
2024/08/13,Bajo la luna roja,Melissa Patrick,Misterio,10,44.48
2023/05/19,La teoría del todo,Anthony Allen,Romance,19,42.56
2024/05/07,El alquimista,David Clark,Misterio,1,26.2
2024/01/22,Bajo la luna roja,Monique Tanner,Misterio,14,41
2022/10/25,Sombras en la ciudad,Rhonda Collins,Ciencia,15,9.38
2023/04/02,Mentes brillantes,Megan Ryan,Romance,10,37.92
2021/07/20,Bajo la luna roja,Zachary Mack,Autoayuda,17,49.37
2022/03/20,La teoría del todo,Rachel Mullen,Romance,8,26.61
2021/06/06,Crónicas de un viajero,Jorge Campbell,No Ficción,19,18.64
2023/07/21,Crónicas de un viajero,Daniel Kennedy DDS,Historia,15,18.21
2023/08/27,La teoría del todo,William Mccarty,Historia,15,11.93
2022/10/19,Sombras en la ciudad,Michael Patton,Romance,12,31.03
2024/08/20,El arte de la guerra,Anthony Pitts,Romance,4,37.08
2025/03/23,El último amanecer,Christine Fields,Terror,5,37.44
2023/04/10,Bajo la luna roja,Hector Hughes,Misterio,7,15.79
