SalesOrderID;OrderDate;DueDate;ShipDate;SalesOrderNumber;AccountNumber;CustomerID;TerritoryID;Subtotal;TaxAmt;Freight;TotalDue;Comment
53295;2023-10-10 19:58:13;2023-03-23 12:18:14;2021-06-08 07:20:17;SO88303;84-8862-18518;82096;24;4382,1;393,79;587,83;4315,96;Comment 1
39950;2022-07-02 23:30:29;2021-10-24 12:57:21;2020-03-15 03:42:43;SO46795;16-3417-49054;18834;40;9120,5;435,02;327,03;9152,24;Comment 2
33336;2022-12-28 15:08:47;2021-06-01 20:32:56;2023-02-09 02:42:29;SO36205;78-5514-83427;87664;42;2596,74;89,81;21,7;16044,37;Comment 3
12486;2023-10-23 12:55:15;2021-03-30 03:19:10;2023-09-14 11:15:07;SO52215;72-3440-90827;13278;24;5052,56;418,68;874,11;8374,07;Comment 4
10507;2020-01-18 18:07:17;2023-03-13 04:13:34;2021-02-06 23:21:14;SO98441;74-3185-84739;95742;44;215,15;452,8;100,61;17831,18;Comment 5
70138;2020-05-01 19:15:43;2022-01-05 16:58:12;2023-12-08 14:53:13;SO59368;50-5389-75591;53438;7;7368,83;337,92;378,31;11693,31;Comment 6
87865;2021-05-03 14:12:19;2020-10-25 20:30:54;2023-03-01 04:36:28;SO90409;53-9319-74957;55795;25;7734,43;328,17;248,28;13854,95;Comment 7
37388;2022-03-01 08:14:16;2021-08-31 21:13:53;2023-08-08 18:03:33;SO75478;75-3751-62094;53373;21;4198,94;269,04;879,63;5213,5;Comment 8
28380;2022-02-14 12:25:51;2021-05-01 20:36:05;2020-02-21 05:50:49;SO27723;61-5244-70735;34217;42;8471,38;454,49;38,16;2252,93;Comment 9
59572;2021-07-14 20:28:48;2022-06-13 11:04:54;2023-12-23 19:40:22;SO48195;23-8779-93758;77339;29;1817,17;216,58;143,66;15713,65;Comment 10
13844;2023-11-08 08:02:56;2023-10-28 13:31:38;2023-02-11 02:36:03;SO87681;97-9859-86247;83123;47;7110,49;240,58;918,52;15921,15;Comment 11
83078;2020-01-11 09:04:44;2020-03-23 10:26:20;2023-06-13 00:23:17;SO84868;44-6968-96958;10918;50;1601,47;363,62;98,36;17421,72;Comment 12
32803;2021-08-12 05:16:24;2021-08-03 14:38:48;2022-09-18 17:34:19;SO29445;61-5244-70735;49136;47;3489,69;109,49;528,74;5243,39;Comment 13
54281;2020-09-17 07:21:46;2023-07-01 11:22:02;2023-11-23 00:40:45;SO61352;35-6579-94037;81113;28;6291,17;325,48;863,27;12074,22;Comment 14
33586;2022-03-31 23:43:03;2021-02-07 03:34:40;2020-08-27 13:59:56;SO33354;35-6579-94037;31899;16;8862,97;367,29;199,26;7160,5;Comment 15
44007;2021-10-29 22:29:37;2022-03-15 14:24:31;2023-02-05 11:52:51;SO43085;69-1886-36823;86426;13;1182,05;451,16;695,83;17409,8;Comment 16
56770;2022-09-26 06:16:15;2021-10-07 12:43:20;2023-09-20 03:46:50;SO19397;17-6178-77430;90753;29;7768,96;50,56;664,07;19281,81;Comment 17
35026;2022-08-30 15:25:24;2022-09-01 05:36:53;2023-12-22 13:17:55;SO32059;44-6968-96958;23936;32;3976,68;44,57;217,35;5135,97;Comment 18
